"tit_projeto" "descricao" "autor_situacao"
"1" "PROC. 01257/18 - PDL 004/18" "Susta, com base no inc. IV do art. 57 da Lei Orgânica do Município de Porto Alegre, o ato de bloqueio preventivo dos imóveis do Bairro Petrópolis, efetivado com base na Lei Complementar nº 601, de 23 de outubro de 2008, revogada pela Lei Complementar nº 829, de 5 de janeiro de 2018." "Autor
Ver. Felipe Camozzato e Outros
Situação
PARA PARECER"
"2" "PROC. 01072/18 - PDL 003/18" "Susta o Decreto nº 20.017, de 20 de junho de 2018 – que determina providências a serem adotadas, em caso de paralisação de servidores públicos." "Autor
Ver. Aldacir Oliboni e Outros
Situação
ORDEM DO DIA"
"3" "PROC. 00612/18 - PDL 002/18" "Autoriza o prefeito municipal de Porto Alegre, senhor Nelson Marchezan Júnior, a ausentar-se do Município, do dia 14 de abril ao dia 20 de abril de 2018, para viajar a São Paulo (SP) e a Recife (PE)." "Autor
Comissão de Constituição e Justiça
Situação
ARQUIVADO"
"4" "PROC. 00226/18 - PDL 001/18" "CONCEDE AO PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR NELSON MARCHEZAN JUNIOR, LICENCA PARA VIAJAR A JERUSALEM, EM ISRAEL, DO DIA 9 AO DIA 19 DE FEVEREIRO DE 2018." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"5" "PROC. 03103/17 - PDL 008/17" "Autoriza o vice-prefeito municipal de Porto Alegre, senhor Gustavo Bohrer Paim, a ausentar-se do país, do dia 10 ao dia 13 de dezembro de 2017, para viajar a Paris, na França." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"6" "PROC. 02902/17 - PDL 007/17" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR NELSON MARCHEZAN JUNIOR, A AUSENTAR-SE DO PAIS, DO DIA 11 AO DIA 22 DE NOVEMBRO DE 2017, PARA VIAJAR A BARCELONA, NA ESPANHA, A PARTIS, NA FRANCA, A FRANKFURT, NA ALEMANHA, E A LISBOA, EM PORTUGUAL, E A AUSENTAR-SE DO MUNICIPIO DE PORTO ALEGRE, DO DIA 23 AO DIA 24 DE NOVEMBRO DE 2017, PARA..." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"7" "PROC. 02863/17 - PDL 006/17" "Autoriza o prefeito municipal de Porto Alegre, senhor Nelson Marchezan Júnior, a ausentar-se do país, do dia 1º ao dia 4 de novembro de 2017, para viajar a Lima, no Peru." "Autor
Comissão de Constituição e Justiça
Situação
ARQUIVADO"
"8" "PROC. 02840/17 - PDL 005/17" "CONCEDE AO VICE-PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR GUSTAVO BOHRER PAIM, LICENCA PARA VIAJAR A BANGKOK, NA TAILANDIA, DO DIA 3 AO DIA 11 DE NOVEMBRO DE 2017." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"9" "PROC. 02388/17 - PDL 004/17" "aprova as contas do Município de Porto Alegre referentes ao exercício de 2014." "Autor
Comissão de Economia, Finanças, Orçamento e do Mercosul
Situação
ARQUIVADO"
"10" "PROC. 01999/17 - PDL 003/17" "CONCEDE AO VICE-PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR GUSTAVO BOHRER PAIM, LICENCA PARA VIAJAR A NOVA IORQUE, NO ESTADOS UNIDOS, DO DIA 21 AO DIA 29 DE JULHO DE 2017." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"11" "PROC. 01848/17 - PDL 002/17" "CONCEDE AO PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR NELSON MARCHEZAN JUNIOR, LICENCA PARA VIAJAR A NICE E PARIS, NA FRANCA, DO DIA 02 AO DIA 09 DE JULHO DE 2017." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"12" "PROC. 01727/17 - PDL 001/17" "CONCEDE AO VICE-PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR GUSTAVO BOHRER PAIM, LICENCA PARA VIAJAR A MONTREAL, NO CANADA, DO DIA 15 AO DIA 24 DE JUNHO DE 2017." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"13" "PROC. 02426/16 - PDL 003/16" "CONCEDE AO PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, LICENCA PARA VIAJAR A BARCELONA, NA ESPANHA, DO DIA 11 AO DIA 20 DE NOVEMBRO DE 2016." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"14" "PROC. 01391/16 - PDL 002/16" "aprova as contas do Município de Porto Alegre referentes ao exercício de 2013." "Autor
Comissão de Economia, Finanças, Orçamento e do Mercosul
Situação
ARQUIVADO"
