"tit_projeto" "descricao" "autor_situacao"
"1" "PROC. 00504/19 - PELO 007/19" "Inclui incs. XX e XXI no caput do art. 57 da Lei Orgânica do Município de Porto Alegre, acrescentando às competências privativas da Câmara Municipal a fixação do subsídio dos Vereadores, do Prefeito, do Vice Prefeito e dos Secretários Municipais." "Autor
Ver. Mauro Zacher
Situação
PARA COMPOSICAO E REVISAO DA PROPOSICAO"
"2" "PROC. 00377/19 - PELO 006/19" "INCLUI O PARAGRAFO UNICO AO ART. 19-A DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE." "Autor
MENDES RIBEIRO
Situação
EM TRAMITACAO"
"3" "PROC. 00314/19 - PELO 005/19" "Altera o caput e inclui parágrafo único no art. 156 e inclui art. 156-A na Lei Orgânica do Município de Porto Alegre, dispondo sobre a segurança no Município e sobre as competências da Guarda Municipal." "Autor
Ver. Mônica Leal
Situação
PARA PARECER"
"4" "PROC. 00300/19 - PELO 004/19" "Altera o caput do art. 103 e o caput do art. 104 e revoga os §§ 1º e 2º do art. 103 e o parágrafo único do art. 104 da Lei Orgânica do Município de Porto Alegre, dispondo sobre o direito de informação." "Autor
Ver. Mauro Pinheiro
Situação
PARA CIENCIA"
"5" "PROC. 00288/19 - PELO 003/19" "Inclui art. 116-A na Lei Orgânica do Município de Porto Alegre, dispondo sobre a execução orçamentária e financeira da programação incluída por emendas individuais do Legislativo Municipal em Lei Orçamentária Anual (LOA)." "Autor
Ver. Cássio Trogildo
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO"
"6" "PROC. 00272/19 - PELO 002/19" "Altera o inc. I do § 1º e inclui inc. VII no § 2º do art. 82 da Lei Orgânica do Município de Porto Alegre, instituindo necessidade de quórum de maioria qualificada para majoração de alíquota ou base de cálculo de impostos municipais." "Autor
Ver. Ricardo Gomes
Situação
PARA PARECER"
"7" "PROC. 00021/19 - PELO 001/19" "Inclui art. 178-A na Lei Orgânica do Município de Porto Alegre, tornando a Língua Espanhola disciplina de oferta obrigatória nos níveis fundamental e médio da rede municipal de ensino." "Autor
Verª. Sofia Cavedon
Situação
PARA PARECER"
"8" "PROC. 01295/18 - PELO 006/18" "Altera o art. 150 da Lei Orgânica do Município de Porto Alegre, ampliando o rol de atos de discriminação passíveis de penalidade de multa até cassação de alvará de instalação e funcionamento dos estabelecimentos que pratiquem atos de discriminação." "Autor
Ver. Luciano Victorino
Situação
PARA PARECER"
"9" "PROC. 01242/18 - PELO 005/18" "Altera o inc. I do § 5º do art. 116 da Lei Orgânica do Município de Porto Alegre, estabelecendo o limite máximo de 5% (cinco por cento) do total da despesa autorizada para abertura de créditos suplementares na lei orçamentária anual." "Autor
Ver. Mendes Ribeiro
Situação
ORDEM DO DIA"
"10" "PROC. 00759/18 - PELO 004/18" "Revoga o parágrafo único do art. 78 da Lei Orgânica do Município de Porto Alegre, excluindo a exceção conferida aos projetos do Executivo Municipal quanto ao cumprimento de requisitos para reapresentar matéria constante de Projeto de Lei rejeitado na mesma Sessão Legislativa." "Autor
Ver. Aldacir Oliboni e Outros.
Situação
POR SOLICITACAO"
"11" "PROC. 00757/18 - PELO 003/18" "Inclui inc. VI no § 2º do art. 82 da Lei Orgânica do Município de Porto Alegre, incluindo a alteração dos limites ou a alteração de regime urbanístico que compreenda a Zona Rural do Município de Porto Alegre no rol de matérias que dependem de voto favorável de dois terços dos membros da Câmara Municipal para aprovação." "Autor
Ver. Cassio Trogildo
Situação
ARQUIVADO"
"12" "PROC. 00732/18 - PELO 002/18" "REVOGA O ART. 45 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, QUE TRATA DA CONCESSAO DE LICENCA ESPECIAL AGUARDANDO APOSENTADORIA, COMPUTANDO-SE O TEMPO COMO DE EFETIVO EXERCICIO PARA TODOS OS EFEITOS LEGAIS." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"13" "PROC. 00726/18 - PELO 001/18" "ALTERA O INC. XIII DO ART. 31 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"14" "PROC. 02860/17 - PELO 015/17" "ALTERA O INC. XIII DO ART. 31 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
