"tit_projeto" "descricao" "autor_situacao"
"1" "PROC. 00015/20 - PLCE 001/20" "DISPOE SOBRE A COBRANCA DA TARIFA DE CONGESTIONAMENTO." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"2" "PROC. 00016/20 - PLCE 002/20" "INSTITUI A TAXA DE MOBILIDADE URBANA (TMU), E INCLUI DISPOSITIVOS NA LEI COMPLEMENTAR Nº 7, DE 7 DE DEZEMBRO DE 1973, E DA OUTRAS PROVIDENCIAS." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"3" "PROC. 00017/20 - PLCE 003/20" "ALTERA O CAPUT E REVOGA AS ALS. A, B E C DO § 3º DO ART. 32 DA LEI Nº 8.133, DE 12 DE JANEIRO DE 1998, QUE DISPOE SOBRE O SISTEMA DE TRASNPORTE E CIRCULACAO NO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"4" "PROC. 00637/19 - PLCE 021/19" "ALTERA O § 5º E OS INCS. I A VII DO § 8º, INCLUI O ART. 34-A E REVOGA OS §§ 6º, 7º, 9º E 10 DO ART. 32, TODOS NA LEI COMPLEMENTAR Nº 765, DE 8 DE JULHO DE 2015, ALTERANDO A FORMA DE CALCULO DA GRATIFICACAO DE ATIVIDADE TRIBUTARIA (GAT)." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"5" "PROC. 00612/19 - PLCE 020/19" "INSTITUI O FUNDO MUNICIPAL DE INOVACAO E TECNOLOGIA DE PORTO ALEGRE (FIT/POA)." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"6" "PROC. 00603/19 - PLCE 018/19" "ALTERA DISPOSITIVOS DA LEI COMPLEMETAR Nº 701, DE 18 DE JULHO DE 2012, E DA OUTRAS PROVIDENCIAS." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"7" "PROC. 00606/19 - PLCE 019/19" "ALTERA O INC. XIX DO ART. 21 DA LEI COMPLEMENTAR Nº 7, DE 7 DE DEZEMBRO DE 1973, QUE INSTITUI E DISCIPLINA OS TRIBUTOS DE COMPETENCIA DO MUNICIPIO, ESTENDENDO A VIGENCIA DA ALIQUOTA DO ISS PARA OS SERVICOS REALIZADOS PELOS CENTROS DE CONTATO (CONTACT CENTERS) ATE 31 DE DEZEMBRO DE 2020." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
