"tit_projeto" "descricao" "autor_situacao"
"1" "PROC. 00654/19 - PLCL 027/19" "INCLUI O § 1° E O § 2° NO ART. 21 DA LEI COMPLEMENTAR Nº 728, DE 8 DE JANEIRO DE 2014, QUE INSTITUI O CODIGO MUNICIPAL DE LIMPEZA URBANA." "Autor
JOSE FREITAS
Situação
PARA COMPOSICAO E REVISAO DA PROPOSICAO"
"2" "PROC. 00585/19 - PLCL 026/19" "ALTERA O PARAGRAFO UNICO DO ART. 1º DA LEI COMPLEMENTAR Nº 832, DE 9 DE MARCO DE 2018, QUE DISPOE SOBRE MEDIDAS DE POLICIA ADMINISTRATIVA DE COMPETENCIA DO MUNICIPIO DE PORTO ALEGRE E OUTRAS PROVIDENCIAS, INCLUINDO AS INFRACOES PREVISTAS NA LEI COMPLEMENTAR Nº 694, DE 21 DE MAIO DE 2012." "Autor
LOURDES SPRENGER
Situação
P - PARA CONSULTA"
"3" "PROC. 00574/19 - PLCL 025/19" "ALTERA OS LIMITES DA SUBUNIDADE 14 DA UNIDADE DE ESTRUTURACAO URBANA (UEU) 62 DA MACROZONA (MZ) 8, CRIA E INSTITUI COMO AREA ESPECIAL DE INTERESSE SOCIAL (AEIS) III E DEFINE-LHE REGIME URBANISTICO." "Autor
REGINALDO PUJOL
Situação
P - PARA CONSULTA"
"4" "PROC. 00500/19 - PLCL 024/19" "CRIA E DECLARA COMO AREA ESPECIAL DE INTERESSE SOCIAL-I (AEIS I) NA MACROZONA (MZ) 02, AS SUBUNIDADES 07,08,09, NA UNIDADE DE ESTRUTURACAO URBANA (UEU) 50; NA MACROZONA (MZ) 03, AS SUBUNIDADES 04,05, NA UEU 06; 05 NA UEU 10; 07 E 08, NA UEU 16; 08, NA UEU 20; 02 NA UEU 22; 13,14,15,16,17 E 18, NA UEU 86; 07 NA UEU 88; NA MACROZONA (MZ) 08, AS..." "Autor
ROBERTO ROBAINA
Situação
EM TRAMITACAO"
"5" "PROC. 00495/19 - PLCL 023/19" "Inclui inc. V no parágrafo único do art. 51 da Lei Complementar nº 694, de 21 de maio de 2012 – que consolida a legislação sobre criação, comércio, exibição, circulação e políticas de proteção de animais no Município de Porto Alegre e revoga legislação sobre o tema –, e alterações posteriores, excetuando da proibição à permanência de animais em..." "Autor
Verª Lourdes Sprenger
Situação
PARA PARECER"
"6" "PROC. 00442/19 - PLCL 022/19" "Declara como Área Especial de Interesse Social I – AEIS I – a área que especifica, localizada na Vila Mato Sampaio, criando nova Subunidade e alterando os limites das Subunidades adjacentes." "Autor
Ver. Engenheiro Comassetto e outros
Situação
ORDEM DO DIA"
"7" "PROC. 00418/19 - PLCL 021/19" "Inclui art. 12-A na Lei Complementar nº 609, de 8 de janeiro de 2009 – que define o regime urbanístico para a Subunidade 2 da Unidade de Estruturação Urbana (UEU) 60 da Macrozona (MZ) 1, altera os limites das Subunidades 1, 2 e 3 da UEU 62 da MZ 1, cria as Subunidades 4, 5 e 6 na UEU 62 da MZ 1, define o regime urbanístico para as subunidades 2,..." "Autor
Ver. João Bosco Vaz
Situação
PARA PARECER"
"8" "PROC. 00407/19 - PLCL 020/19" "Inclui inc. V no caput do art. 45 da Lei Complementar nº 694, de 21 de maio de 2012 – que consolida a legislação sobre criação, comércio, exibição, circulação e políticas de proteção de animais no Município de Porto Alegre e revoga legislação sobre o tema –, e alterações posteriores, proibindo a utilização de cães em corridas." "Autor
Verª Lourdes Sprenger
Situação
PARA PARECER"
"9" "PROC. 00338/19 - PLCL 016/19" "Inclui §§ 1º, 2º, 3º e 4º no art. 2º da Lei Complementar nº 399, de 14 de janeiro de 1997 – que cria o Conselho Municipal de Cultura (CMC) e o Sistema Municipal de Cultura, institui a conferência municipal de cultura e dá outras providências –, e alterações posteriores, dispondo sobre as reuniões do CMC." "Autor
Comissão de Educação, Cultura, Esporte e Juventude (Cece)
Situação
PARA PARECER"
"10" "PROC. 00313/19 - PLCL 019/19" "Revoga o art. 15-A da Lei Complementar nº 7, de 7 de dezembro de 1973 – que institui e disciplina dos tributos de competência do Município." "Autor
Ver. Moisés Barboza
Situação
PARA PARECER"
"11" "PROC. 00273/19 - PLCL 015/19" "Inclui inc. XXXII no caput do art. 18 da Lei Complementar nº 12, de 7 de janeiro de 1975 – que institui posturas para o Município de Porto Alegre e dá outras providências –, e alterações posteriores, proibindo comercializar ou servir bebidas alcoólicas em eventos desportivos, dentro de estádios, ginásios ou praças nos quais sejam realizados, e..." "Autor
Verª Mônica Leal
Situação
COM PARECER"
"12" "PROC. 00256/19 - PLCL 017/19" "Inclui art. 22-A na Lei Complementar nº 728, de 8 de janeiro de 2014 – que institui o Código Municipal de Limpeza Urbana –, e alterações posteriores, condicionando a realização de grandes produções de eventos e festas populares, públicos ou privados, à aprovação de Plano de Gerenciamento de Resíduos Sólidos." "Autor
Ver. Alex Fraga e Ver. André Carús
Situação
PARA PARECER"
"13" "PROC. 00247/19 - PLCL 014/19" "Determina a destinação obrigatória de 30% (trinta por cento) ao ano dos valores arrecadados com o Imposto sobre a Propriedade de Veículos Automotores (IPVA) para a qualificação e a requalificação da malha viária do Município de Porto Alegre." "Autor
Ver. Mauro Zacher
Situação
PARA PARECER"
"14" "PROC. 00243/19 - PLCL 013/19" "Altera o caput do art. 42 da Lei Complementar nº 628, de 17 de agosto de 2009, e alterações posteriores, dispondo sobre a recondução dos conselheiros tutelares." "Autor
Ver. Mauro Zacher
Situação
ORDEM DO DIA"
