"tit_projeto" "descricao" "autor_situacao"
"1" "PROC. 00014/20 - PLE 001/20" "DISPOE SOBRE O CREDENCIAMENTO DAS EMPRESAS DO SERVICO DE TRANSPORTE MOTORIZADO PRIVADO E REMUNERADO DE PASSAGEIROS NA CATEGORIA APLICACOES DE INTERNET, ALTERA O ART. 21 DA LEI Nº 8.133, DE 12 DE JANEIRO DE 1998, E REVOGA A LEI Nº 12.162, DE 09 DE DEZEMBRO DE 2016, E A LEI Nº 12.423, DE 14 DE JUNHO DE 2018." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"2" "PROC. 00624/19 - PLE 038/19" "INCLUI A EFEMERIDE DIA MUNICIPAL DE DOAR NO ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE, E ALTERACOES POSTERIORES, NA TERCA SUBSEQUENTE AO DIA MUNDIAL DE ACAO DE GRACAS." "Autor
GOVERNO MUNICIPAL
Situação
PARA APREGOAR"
"3" "PROC. 00610/19 - PLE 036/19" "DISPOE SOBRE A MODALIDADE DE LICENCIAMENTO AMBIENTAL POR ADESAO E COMPROMISSO (LAC)." "Autor
GOVERNO MUNICIPAL
Situação
PARA APREGOAR"
"4" "PROC. 00611/19 - PLE 037/19" "DISPOE SOBRE A ORDENACAO DOS VEICULOS DE DIVULGACAO (VD) DISPOSTOS NA PAISAGEM URBANA NO TERRITORIO DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"5" "PROC. 00604/19 - PLE 031/19" "ALTERA O ANEXO E INCLUI OS INC. IX E X E O §3º NO ART. 3º DA LEI Nº 11.403, DE 27 DE DEZEMBRO DE 2012 ALTERADA PELA LEI Nº 12.296 DE 30 DE AGOSTO DE 2017, QUE CRIA EMPREGOS EM COMISSAO OU FUNCOES EM COMISSAO NA ESTRUTURA ORGANIZACIONAL DA COMPANHIA DE PROCESSAMENTO DE DADOS DO MUNICIPIO DE PORTO ALEGRE (PROCEMPA) E DA OUTRAS PROVIDENCIAS." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"6" "PROC. 00605/19 - PLE 032/19" "ALTERA O ART. 2º, O CAPUT DO ART 16 E REVOGA OS §§ 1º E 2º DO ART. 16, TODOS DA LEI Nº 4,267, DE 7 DE JANEIRO DE 1977." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"7" "PROC. 00607/19 - PLE 033/19" "AUTORIZA O PODER EXECUTIVO A CONTRATAR PROFESSORES PARA A SECRETARIA MUNICIPAL DE EDUCACAO (SMED) EM CARATER EMERGENCIAL E POR PRAZO DETERMINADO PARA ATENDER NECESSIDADE TEMPORARIA E DE EXCEPCIONAL INTERESSE PUBLICO." "Autor
GOVERNO MUNICIPAL
Situação
COM REDACAO FINAL"
"8" "PROC. 00608/19 - PLE 034/19" "AUTORIZA O PODER EXECUTIVO MUNICIPAL A INDENIZAR OS SERVIDORES PUBLICOS MUNICIPAIS ATIVOS E INATIVOS, VINCULADOS A ESTATUTOS PROPRIOS, PENSIONISTAS E AGENTES POLITICOS DO MUNICIPIO DE PORTO ALEGRE EM CASO DE NAO PAGAMENTO DA OBRIGACAO PECUNIARIA RELATIVA A GRATIFICACAO NATALINA DE 2019 (13° SALARIO), ATE A DATA ESTABELECIDA NO § 4° DO ART. 98 DA..." "Autor
GOVERNO MUNICIPAL
Situação
PARA CONFERENCIA DA LEI / RESOLUCAO"
"9" "PROC. 00609/19 - PLE 035/19" "ALTERA OS LIMITES DA SUBUNIDADE 01 DA UNIDADE DE ESTRUTURACAO URBANA (UEU) 026 DA MACROZONA (MZ) 04, CRIA E INSTITUI COMO AREA ESPECIAL DE INTERESSE SOCIAL (AEIS) III A SUBUNIDADE 8, NA UEU 026 DA MZ 04, E DEFINE REGIME URBANISTICO PARA A SUBUNIDADE 8." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"10" "PROC. 00577/19 - PLE 029/19" "RATIFICA AS ALTERACOES REALIZADAS NO PROTOCOLO DE INTENCOES, CONSUBSTANCIADO NO CONTRATO DE CONSORCIO PUBLICO DO CONSORCIO DE INFORMATICA NA GESTAO PUBLICA MUNICIPAL (CIGA)." "Autor
GOVERNO MUNICIPAL
Situação
EM TRAMITACAO"
"11" "PROC. 00578/19 - PLE 030/19" "ALTERA O CAPUT E O PARAGRAFO UNICO DO ART. 1°, O CAPUT DO ART. 9º E INCLUI OS INCS. I A IX AO CAPUT E I A X AO PARAGRAFO UNICO DO ART. 1°, TODOS NA LEI Nº 11.242, DE 4 DE ABRIL DE 2012; ALTERA A EMENTA, O CAPUT DO ART. 1°, O § 1° E O CAPUT DO ART. 2°, O INC. I DO ART. 5º E O CAPUT DO ART. 11 E INCLUI OS INCS. I A IV AO ART. 1° E O ART. 12-A NA..." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"12" "PROC. 00576/19 - PLE 028/19" "DISPOE SOBRE A IMPLEMENTACAO NO MUNICIPIO DE PORTO ALEGRE DE POLOS UNIVERSITARIOS DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL (UAB) PARA OFERTA DE CURSO DE FORMACAO DE PROFESSORES E DIRIGENTES DE ENSINO BASICO." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"13" "PROC. 00552/19 - PLE 026/19" "REGULAMENTA O SERVICO DE UTILIDADE PUBLICA DE TRANSPORTE FRETADO OU POR FRETAMENTO DE PASSAGEIROS NO MUNICIPIO DE PORTO ALEGRE PREVISTO NA LEI Nº 8.133, DE 12 DE JANEIRO DE 1998; ALTERA A EMENTA E INCLUI O ART. 5º-A NA LEI Nº 11.182, DE 28 DE DEZEMBRO DE 2011." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA"
"14" "PROC. 00553/19 - PLE 027/19" "REGULAMENTA O SERVICO DE UTILIDADE PUBLICA DE TRANSPORTE ESCOLAR NO MUNICIPIO DE PORTO ALEGRE PREVISTO NA LEI MUNICIPAL Nº 8.133, DE 12 DE JANEIRO DE 1998; E REVOGA A LEI Nº 6.091, DE 14 DE JANEIRO DE 1988, A LEI Nº 6.393, DE 12 DE MAIO DE 1989, E A LEI Nº 8.206, DE 16 DE SETEMBRO DE 1998." "Autor
GOVERNO MUNICIPAL
Situação
PARA APREGOAR"
"15" "PROC. 00545/19 - PLE 025/19" "cria o Fundo Municipal do Trabalho (FMT), institui o Conselho Municipal do Trabalho, Emprego e Renda." "Autor
Governo Municipal
Situação
ORDEM DO DIA"
"16" "PROC. 00542/19 - PLE 024/19" "altera o inc. III do art. 1° da Lei Municipal nº 10.743, de 1° de setembro de 2009, que autoriza o Município de Porto Alegre a desafetar de destinação de uso comum do povo, para fins de regularização do registro do loteamento Porto Seco, os equipamentos urbanos e os logradouros público de que trata." "Autor
Governo Municipal
Situação
PARA PARECER"
"17" "PROC. 00530/19 - PLE 023/19" "autoriza o Poder Executivo a contratar operação de crédito com a Caixa Econômica Federal até o valor de R$ 130 milhões (cento e trinta milhões de reais), no âmbito da linha de Financiamento à Infraestrutura e ao Saneamento (FINISA)." "Autor
Governo Municipal
Situação
AGUARDANDO SANCAO"
"18" "PROC. 00525/19 - PLE 021/19" "ESTIMA A RECEITA E FIXA A DESPESA DO MUNICIPIO DE PORTO ALEGRE PARA O EXERCICIO ECONOMICO-FINANCEIRO DE 2020." "Autor
GOVERNO MUNICIPAL
Situação
PARA APREGOAR"
"19" "PROC. 00526/19 - PLE 022/19" "autoriza o Executivo Municipal a contratar operação de crédito por meio da Caixa Econômica Federal (CAIXA) até o valor de R$ 10.000.000,00 (dez milhões de reais) para as operações de crédito do Programa Avançar Cidades - Mobilidade Urbana do Ministério de Desenvolvimento Regional." "Autor
Governo Municipal
Situação
AGUARDANDO SANCAO"
"20" "PROC. 00507/19 - PLE 020/19" "DISPOE SOBRE A GESTAO DO ENSINO PUBLICO DAS ESCOLAS DA REDE MUNICIPAL DE PORTO ALEGRE, MODIFICA A ELEICAO PARA A DIRECAO DAS ESCOLAS E DA OUTRAS PROVIDENCIAS, REVOGANDO A LEI Nº 7.365, DE 18 DE NOVEMBRO DE 1993." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"21" "PROC. 00489/19 - PLE 019/19" "AUTORIZA A COMPANHIA CARRIS PORTO-ALEGRENSE (CARRIS) A CONTRATAR OPERACAO DE CREDITO COM A CAIXA ECONOMICA FEDERAL, COM A GARANTIA DO PODER EXECUTIVO MUNICIPAL, ATE O VALOR DE R$ 40.900.000,00 (QUARENTA MILHOES E NOVECENTOS MIL REAIS) E DA OUTRAS PROVIDENCIAS." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"22" "PROC. 00464/19 - PLE 017/19" "AUTORIZA O PODER EXECUTIVO A CONTRATAR OPERACAO DE CREDITO COM O BANCO DO BRASIL S.A.." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"23" "PROC. 00465/19 - PLE 018/19" "DISPOE SOBRE O RECONHECIMENTO DE DIVIDAS CONSOLIDADAS REFERENTES AS DESPESAS DE EXERCICIOS ANTERIORES." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"24" "PROC. 00414/19 - PLE 016/19" "DISPOE SOBRE AS DIRETRIZES ORCAMENTARIAS PARA O EXERCICIO DE 2020." "Autor
GOVERNO MUNICIPAL
Situação
ORDEM DO DIA
Veto
VETO PARCIAL EM APRECIACAO"
"25" "PROC. 00384/19 - PLE 015/19" "ALTERA O INC. XIX DO ART. 1º DA LEI Nº 11.404, DE 27 DE DEZEMBRO DE 2012, CRIA E EXTINGUE CARGOS EM COMISSAO E FUNCOES GRATIFICADAS ALTERANDO AS LETRAS C E D DO ANEXO I DA LEI Nº 6.309, DE 28 DE DEZEMBRO DE 1988, REVOGA O §2º DO ART. 1º E O ART. 4º DA LEI Nº 10.676, DE 11 DE MAIO DE 2009, O §2º DO ART. 1º E O ART. 5º DA LEI Nº 11.964, DE 30 DE..." "Autor
GOVERNO MUNICIPAL
Situação
POR SOLICITACAO"
"26" "PROC. 00366/19 - PLE 011/19" "INCLUI O § 5º NO ART. 2º DA LEI Nº 9.970, DE 30 DE MAIO DE 2006, E ALTERACOES POSTERIORES, QUE CRIOU A CORREGEDORIA DA GUARDA MUNICIPAL NO AMBITO DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"27" "PROC. 00367/19 - PLE 012/19" "INSTITUI O PROGRAMA DE RESIDENCIA JURIDICA (PRJ), NO AMBITO DA PROCURADORIA-GERAL DO MUNICIPIO DE PORTO ALEGRE (PGM)." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"28" "PROC. 00368/19 - PLE 013/19" "INSTITUI O PROGRAMA DE RESIDENCIA TECNICO SUPERIOR (PRTS), NO AMBITO DO MUNICIPIO DE PORTO ALEGRE." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"29" "PROC. 00355/19 - PLE 010/19" "ALTERA O ANEXO III DA LEI Nº 6.203, DE 3 DE OUTUBRO DE 1988, ALTERADA PELA LEI Nº 11.245, DE 4 DE ABRIL DE 2012, QUE ESTABELECE O PLANO CLASSIFICADO DE CARGOS DOS FUNCIONARIOS DO DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOS, DISPONDO SOBRE O QUADRO DE CARGOS EM COMISSAO E FUNCOES GRATIFICADAS." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDA DESPACHO"
"30" "PROC. 00330/19 - PLE 007/19" "AUTORIZA O PODER EXECUTIVO A CONTRATAR OPERACAO DE CREDITO COM O BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL (BRDE) ATE O VALOR DE R$ 95.000.000,00 (NOVENTA E CINCO MILHOES DE REAIS), NO AMBITO DO PROGRAMA AVANCAR CIDADES - SANEAMENTO DO MINISTERIO DO DESENVOLVIMENTO REGIONAL." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"31" "PROC. 00331/19 - PLE 008/19" "AUTORIZA O EXECUTIVO MUNICIPAL A CONTRATAR OPERACAO DE CREDITO JUNTO A UNIAO, POR MEIO DA CAIXA ECONOMICA FEDERAL (CAIXA) ATE O VALOR DE R$ 61.540.483,00 (SESSENTA E UM MILHOES QUINHENTOS E QUARENTA MIL QUATROCENTOS E OITENTA E TRES REAIS), PARA AS OPERACOES DE CREDITO DO PROGRAMA DE ATENDIMENTO HABITACIONAL ATRAVES DO SETOR PUBLICO (PRO-MORADIA)." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"32" "PROC. 00332/19 - PLE 009/19" "AUTORIZA O EXECUTIVO MUNICIPAL A CONTRATAR OPERACAO DE CREDITO JUNTO AO BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL (BNDES) ATE O VALOR DE R$ 82.000.000,00 (OITENTA E DOIS MILHOES DE REAIS)." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
"33" "PROC. 00275/19 - PLE 006/19" "ALTERA O ANEXO DA LEI Nº 11.403, DE 27 DE DEZEMBRO DE 2012, QUE DISPOE SOBRE EMPREGOS EM COMISSAO OU FUNCOES EM COMISSAO CRIADOS NA ESTRUTURA ORGANIZACIONAL DA COMPANHIA DE PROCESSAMENTO DE DADOS DO MUNICIPIO DE PORTO ALEGRE (PROCEMPA), ALTERANDO AS ATRIBUICOES DO EMPREGO DE ASSESSOR." "Autor
GOVERNO MUNICIPAL
Situação
PARA PARECER"
"34" "PROC. 00221/19 - PLE 005/19" "AUTORIZA O EXECUTIVO MUNICIPAL A CONTRATAR OPERACAO DE CREDITO JUNTO AO BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL (BNDES) E BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL (BRDE)." "Autor
GOVERNO MUNICIPAL
Situação
AGUARDANDO SANCAO"
