"tit_projeto" "descricao" "autor_situacao"
"1" "PROC. 00011/20 - PLL 004/20" "DENOMINA PRACA LARA CIBELLI DE LEMOS O LOGRADOURO PUBLICO CADASTRADO, PRACA 1 - LOT. RES. RUBEM BERTA, LOCALIZADO NO RUBEM BERTA." "Autor
ADELI SELL
Situação
PARA COMPOSICAO E REVISAO DA PROPOSICAO"
"2" "PROC. 00009/20 - PLL 003/20" "DECLARA DE UTILIDADE PUBLICA A ASSOCIACAO CENTRO COMUNITARIO COINMA." "Autor
MARCIO BINS ELY
Situação
PARA COMPOSICAO E REVISAO DA PROPOSICAO"
"3" "PROC. 00002/20 - PLL 002/20" "DENOMINA RUA ALDYR SCHLEE O LOGRADOURO CADASTRADO, CONHECIDO COMO ESTR. 2 VILA SAO FRANCISCO - LOCALIZADO NA LOMBA DO PINHEIRO." "Autor
ADELI SELL
Situação
PARA COMPOSICAO E REVISAO DA PROPOSICAO"
"4" "PROC. 00001/20 - PLL 001/20" "DISPOE SOBRE A OBRIGATORIEDADE DO PLANO DE MANUTENCAO, OPERACAO E CONTROLE DE INSTALACOES E EQUIPAMENTOS DE SISTEMAS DE CLIMATIZACAO - PMOC - E MONITORAMENTO DA QUALIDADE DO AR INTERIOR NO MUNICIPIO DE PORTO ALEGRE." "Autor
VALTER NAGELSTEIN
Situação
PARA COMPOSICAO E REVISAO DA PROPOSICAO"
"5" "PROC. 00652/19 - PLL 279/19" "ALTERA O § 1° DO ART. 1° DA LEI Nº 12.302, DE 19 DE SETEMBRO DE 2017, QUE DISPOE SOBRE PECAS E ANUNCIOS PUBLICITARIOS DE ORGAOS E ENTIDADES DOS PODERES LEGISLATIVO E EXECUTIVO MUNICIPAIS, BEM COMO DE CONCESSIONARIAS DE SERVICOS PUBLICOS, A FIM DE RETIRAR A EXCECAO DA INCIDENCIA DA LEI QUANTO AOS ANUNCIOS PUBLICITARIOS EM RADIO." "Autor
MENDES RIBEIRO E RICARDO GOMES
Situação
P - PARA CONSULTA"
"6" "PROC. 00651/19 - PLL 278/19" "INCLUI O EVENTO NATAL MORRO DA LUZ, REALIZADO NO MORRO DA CRUZ, NO ANEXO II DA LEI Nº 10.903, DE 31 DE MAIO DE 2010 - CALENDARIO DE EVENTOS DE PORTO ALEGRE E CALENDARIO MENSAL DE ATIVIDADES DE PORTO ALEGRE -, E ALTERACOES POSTERIORES, NO MES DE DEZEMBRO." "Autor
ALDACIR OLIBONI
Situação
EM TRAMITACAO"
"7" "PROC. 00650/19 - PLL 277/19" "TOMBA COMO PATRIMONIO CULTURAL IMATERIAL DO MUNICIPIO DE PORTO ALEGRE, O MERCADO PUBLICO CENTRAL." "Autor
MAURO ZACHER
Situação
P - PARA CONSULTA"
"8" "PROC. 00648/19 - PLL 276/19" "INCLUI A EFEMERIDE - DIA DA IGREJA UNIVERSAL DO REINO DE DEUS - NO ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSCIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE - E ALTERACOES POSTERIORES, DIA 9 DE JULHO." "Autor
JOSE FREITAS
Situação
P - PARA CONSULTA"
"9" "PROC. 00646/19 - PLL 274/19" "FIXA OS SUBSIDIOS MENSAIS DO PREFEITO, DO VICE-PREFEITO E DOS SECRETARIOS MUNICIPAIS DE PORTO ALEGRE PARA A XVIII LEGISLATURA, PERIODO DE 1º DE JANEIRO DE 2021 A 31 DE DEZEMBRO DE 2024, E DA OUTRAS PROVIDENCIAS." "Autor
MESA DIRETORA
Situação
POR SOLICITACAO"
"10" "PROC. 00647/19 - PLL 275/19" "FIXA OS SUBSIDIOS MENSAIS DO PRESIDENTE E DOS DEMAIS VEREADORES DA CAMARA MUNICIPAL DE PORTO ALEGRE PARA A XVIII LEGISLATURA, PERIODO DE 1º DE JANEIRO DE 2021 A 31 DE DEZEMBRO DE 2024, E DA OUTRAS PROVIDENCIAS." "Autor
MESA DIRETORA
Situação
POR SOLICITACAO"
"11" "PROC. 00645/19 - PLL 273/19" "INCLUI A EFEMERIDE SEMANA DE COMBATE AS DOENCAS REUMATICAS NO ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSCIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE - E ALTERACOES POSTERIORES, NA SEMANA EM QUE SE INCLUI O DIA 12 DE OUTUBRO." "Autor
JOSE FREITAS
Situação
P - PARA CONSULTA"
"12" "PROC. 00643/19 - PLL 272/19" "ALTERA A ALINEA B, DO INCISO IV DO ART. 3º DA LEI Nº 12.629 DE 11 DE NOVEMBRO DE 2019, QUE INSTITUI O PLANO DE RESILIENCIA NO MUNICIPIO DE PORTO ALEGRE." "Autor
PROFESSOR WAMBERT
Situação
P - PARA CONSULTA"
"13" "PROC. 00641/19 - PLL 271/19" "CONCEDE O TITULO DE CIDADAO EMERITO DE PORTO ALEGRE AO SENHOR FRANCISCO ANTONIO SANTA HELENA." "Autor
JOAO BOSCO VAZ
Situação
P - PARA CONSULTA"
"14" "PROC. 00639/19 - PLL 270/19" "CONCEDE TITULO DE CIDADAO EMERITO DE PORTO ALEGRE AO MEDICO DOUTOR NEWTON LUIZ TERRA." "Autor
ALDACIR OLIBONI
Situação
P - PARA CONSULTA"
"15" "PROC. 00638/19 - PLL 269/19" "DENOMINA RUA LINDOLFO PINTO DE CARVALHO O LOGRADOURO PUBLICO CADASTRADO, CONHECIDO COMO RUA B VILA SAO CARLOS, LOCALIZADO NO BAIRRO LOMBA DO PINHEIRO." "Autor
JOAO CARLOS NEDEL
Situação
P - PARA CONSULTA"
"16" "PROC. 00636/19 - PLL 268/19" "INSTITUI A SEMANA MUNICIPAL DO LIXO ZERO NO MUNICIPIO DE PORTO ALEGRE." "Autor
CLAUDIA ARAUJO
Situação
P - PARA CONSULTA"
"17" "PROC. 00627/19 - PLL 266/19" "Denomina Praça Fábio André Koff o logradouro não cadastrado conhecido como Praça Quinhentos e Dois, localizado no Bairro Farrapos." "Autor
Ver. Airto Ferronato
Situação
PARA CIENCIA"
"18" "PROC. 00628/19 - PLL 267/19" "INCLUI A EFEMERIDE MES DA LUTA E CONSIENTIZACAO CONTRA A AIDS - DEZEMBRO VERMELHO - NO ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE-, E ALTERACOES POSTERIORES, NO MES DE DEZEMBRO." "Autor
ALDACIR OLIBONI
Situação
P - PARA CONSULTA"
"19" "PROC. 00626/19 - PLL 265/19" "DENOMINA PASSAGEM DORA LIDIA BISCHOFF O LOGRADOURO PUBLICO NAO CADASTRADO, CONHECIDO COMO PSG PB VILA FARRAPOS, LOCALIZADO NO BAIRRO FARRAPOS." "Autor
JOAO CARLOS NEDEL
Situação
EM TRAMITACAO"
